Codigo_Item,Descripcion_Item,Fg_Tipo,Descripcion_Tipo_Item,Fg_Estado
17276,DESTRUCCIÓN DE LESIÓN MALIGNA CUALQUIER MÉTODO (EJEMPLO: LÁSER ELECTROCIRUGÍA CRIOCIRUGÍA QUIMIOCIRUGÍA CURETAJE QUIRÚRGICO) EN CUERO CABELLUDO CUELLO MANOS PIES GENITALES MAYOR DE 4.0 CM DE DIÁMETRO,CP,Procedimiento (CPT),1
17280,DESTRUCCIÓN DE LESIÓN MALIGNA CUALQUIER MÉTODO (EJEMPLO: LÁSER ELECTROCIRUGÍA CRIOCIRUGÍA QUIMIOCIRUGÍA CURETAJE QUIRÚRGICO) EN CARA OÍDOS PÁRPADOS NARIZ LABIOS MUCOSA MENOR DE 0.5 CM DE DIÁMETRO,CP,Procedimiento (CPT),1
17281,DESTRUCCIÓN DE LESIÓN MALIGNA CUALQUIER MÉTODO (EJEMPLO: LÁSER ELECTROCIRUGÍA CRIOCIRUGÍA QUIMIOCIRUGÍA CURETAJE QUIRÚRGICO) EN CARA OÍDOS PÁRPADOS NARIZ LABIOS MUCOSA MENOR DE 0.6 A 1.0 CM DE DIÁMETRO,CP,Procedimiento (CPT),1
17282,DESTRUCCIÓN DE LESIÓN MALIGNA CUALQUIER MÉTODO (EJEMPLO: LÁSER ELECTROCIRUGÍA CRIOCIRUGÍA QUIMIOCIRUGÍA CURETAJE QUIRÚRGICO) EN CARA OÍDOS PÁRPADOS NARIZ LABIOS MUCOSA MENOR DE 1.1 A 2.0 CM DE DIÁMETRO,CP,Procedimiento (CPT),1
17283,DESTRUCCIÓN DE LESIÓN MALIGNA CUALQUIER MÉTODO (EJEMPLO: LÁSER ELECTROCIRUGÍA CRIOCIRUGÍA QUIMIOCIRUGÍA CURETAJE QUIRÚRGICO) EN CARA OÍDOS PÁRPADOS NARIZ LABIOS MUCOSA MENOR DE 2.1 A 3.0 CM DE DIÁMETRO,CP,Procedimiento (CPT),1
17284,DESTRUCCIÓN DE LESIÓN MALIGNA CUALQUIER MÉTODO (EJEMPLO: LÁSER ELECTROCIRUGÍA CRIOCIRUGÍA QUIMIOCIRUGÍA CURETAJE QUIRÚRGICO) EN CARA OÍDOS PÁRPADOS NARIZ LABIOS MUCOSA MENOR DE 3.1 A 4.0 CM DE DIÁMETRO,CP,Procedimiento (CPT),1
17286,DESTRUCCIÓN DE LESIÓN MALIGNA CUALQUIER MÉTODO (EJEMPLO: LÁSER ELECTROCIRUGÍA CRIOCIRUGÍA QUIMIOCIRUGÍA CURETAJE QUIRÚRGICO) EN CARA OÍDOS PÁRPADOS NARIZ LABIOS MUCOSA MAYOR DE 4.0 CM DE DIÁMETRO,CP,Procedimiento (CPT),1
17304,QUIMIOCIRUGÍA,CP,Procedimiento (CPT),1
17311,TÉCNICA MICROGRÁFICA DE MOHS INCLUYENDO RETIRO DE TODO EL TUMOR ESCICIÓN QUIRÚRGICA DE ESPECÍMENES DE TEJIDO MAPEO CODIFICACIÓN CROMÁTICA DE ESPECÍMENES EXAMEN MICROSCÓPICO DE ESPECÍMENES POR EL CIRUJANO Y PREPARACIÓN HISTOPATOLÓGICA INCLUYENDO TINCIONES RUTINARIAS (P. EJ. HEMATOXILINA-EOSINA AZUL DE TOLUIDINA) CABEZA CUELLO MANOS PIES GENITALES U OTRA LOCALIZACIÓN DE LA CIRUGÍA QUE SE INVOLUCRE M,CP,Procedimiento (CPT),1
17312,TÉCNICA MICROGRÁFICA DE MOHS INCLUYENDO RETIRO DE TODO EL TUMOR ESCICIÓN QUIRÚRGICA DE ESPECÍMENES DE TEJIDO MAPEO CODIFICACIÓN CROMÁTICA DE ESPECÍMENES EXAMEN MICROSCÓPICO DE ESPECÍMENES POR EL CIRUJANO Y PREPARACIÓN HISTOPATOLÓGICA INCLUYENDO TINCIONES RUTINARIAS (P. EJ. HEMATOXILINA-EOSINA AZUL DE TOLUIDINA) CABEZA CUELLO MANOS PIES GENITALES U OTRA LOCALIZACIÓN DE LA CIRUGÍA QUE SE INVOLUCRE M,CP,Procedimiento (CPT),1
17313,TÉCNICA MICROGRÁFICA DE MOHS INCLUYENDO RETIRO DE TODO EL TUMOR ESCICIÓN QUIRÚRGICA DE ESPECÍMENES DE TEJIDO MAPEO CODIFICACIÓN CROMÁTICA DE ESPECÍMENES EXAMEN MICROSCÓPICO DE ESPECÍMENES POR EL CIRUJANO Y PREPARACIÓN HISTOPATOLÓGICA INCLUYENDO TINCIONES RUTINARIAS (P. EJ. HEMATOXILINA-EOSINA AZUL DE TOLUIDINA) TRONCO BRAZOS O PIERNAS PRIMERA ETAPA HASTA 5 BLOQUES DE TEJIDOS,CP,Procedimiento (CPT),1
17314,TÉCNICA MICROGRÁFICA DE MOHS INCLUYENDO RETIRO DE TODO EL TUMOR ESCICIÓN QUIRÚRGICA DE ESPECÍMENES DE TEJIDO MAPEO CODIFICACIÓN CROMÁTICA DE ESPECÍMENES EXAMEN MICROSCÓPICO DE ESPECÍMENES POR EL CIRUJANO Y PREPARACIÓN HISTOPATOLÓGICA INCLUYENDO TINCIONES RUTINARIAS (P. EJ. HEMATOXILINA-EOSINA AZUL DE TOLUIDINA) TRONCO BRAZOS O PIERNAS CADA ETAPA ADICIONAL DESPUÉS DE LA PRIMERA HASTA 5 BLOQUES DE ,CP,Procedimiento (CPT),1
17315,TÉCNICA MICROGRÁFICA DE MOHS INCLUYENDO RETIRO DE TODO EL TUMOR ESCICIÓN QUIRÚRGICA DE ESPECÍMENES DE TEJIDO MAPEO CODIFICACIÓN CROMÁTICA DE ESPECÍMENES EXAMEN MICROSCÓPICO DE ESPECÍMENES POR EL CIRUJANO Y PREPARACIÓN HISTOPATOLÓGICA INCLUYENDO TINCIONES RUTINARIAS (P. EJ. HEMATOXILINA-EOSINA AZUL DE TOLUIDINA) CADA BLOQUE SUBSIQUIENTE A LOS 5 PRIMEROS CUALQUIER ETAPA (REGISTRAR SEPARADAMENTE ADEM,CP,Procedimiento (CPT),1
17340,CRIOTERAPIA PARA ACNÉ (CO2 NITRÓGENO LÍQUIDO),CP,Procedimiento (CPT),1
17360,EXFOLIACIÓN QUÍMICA DE ACNÉ (P. EJ. PASTA DE ACNÉ ÁCIDO),CP,Procedimiento (CPT),1
17380,DEPILACIÓN MEDIANTE ELECTROLISIS CADA 30 MINUTOS,CP,Procedimiento (CPT),1
17999,PROCEDIMIENTO NO LISTADO EN PIEL MEMBRANA MUCOSA Y TEJIDO SUBCUTÁNEO,CP,Procedimiento (CPT),1
19000,PUNCIÓN ASPIRATIVA DE QUISTE DE MAMA,CP,Procedimiento (CPT),1
19001,PUNCIÓN ASPIRATIVA DE QUISTE DE MAMA CADA QUISTE ADICIONAL. REGISTRAR POR SEPARADO ADICIONALMENTE AL CÓDIGO DEL PROCEDIMIENTO PRIMARIO,CP,Procedimiento (CPT),1
19020,MÁSTOTOMÍA CON EXPLORACIÓN O DRENAJE DE ABSCESO PROFUNDO,CP,Procedimiento (CPT),1
19030,CANALIZACIÓN DE CONDUCTO MAMARIO PARA DUCTOGRAMA MAMARIO O GALACTOGRAFÍA,CP,Procedimiento (CPT),1
19081,BIOPSIA DE MAMA CON COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA) CUANDO ESTA SE REALIZA E IMAGEN DE LA MUESTRA DE BIOPSIA CUANDO SE REALIZA PERCUTÁNEA PRIMERA LESIÓN INCLUYENDO GUÍA ESTEREOTÁCTICA,CP,Procedimiento (CPT),1
19082,BIOPSIA DE MAMA CON COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA) CUANDO ESTA SE REALIZA E IMAGEN DE LA MUESTRA DE BIOPSIA CUANDO SE REALIZA PERCUTÁNEA CADA LESIÓN ADICIONAL INCLUYENDO GUÍA ESTEREOTÁCTICA (REGISTRAR ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRINCIPAL),CP,Procedimiento (CPT),1
19083,BIOPSIA DE MAMA CON COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA) CUANDO ESTA SE REALIZA E IMAGEN DE LA MUESTRA DE BIOPSIA CUANDO SE REALIZA PERCUTÁNEA PRIMERA LESIÓN INCLUYENDO GUÍA ULTRASONOGRÁFICA,CP,Procedimiento (CPT),1
19084,BIOPSIA DE MAMA CON COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA) CUANDO ESTA SE REALIZA E IMAGEN DE LA MUESTRA DE BIOPSIA CUANDO SE REALIZA PERCUTÁNEA CADA LESIÓN ADICIONAL INCLUYENDO GUÍA ULTRASONOGRÁFICA (REGISTRAR ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRINCIPAL),CP,Procedimiento (CPT),1
19085,BIOPSIA DE MAMA CON COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA) CUANDO ESTA SE REALIZA E IMAGEN DE LA MUESTRA DE BIOPSIA CUANDO SE REALIZA PERCUTÁNEA PRIMERA LESIÓN INCLUYENDO GUÍA POR RESONANCIA MAGNÉTICA,CP,Procedimiento (CPT),1
19086,BIOPSIA DE MAMA CON COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA) CUANDO ESTA SE REALIZA E IMAGEN DE LA MUESTRA DE BIOPSIA CUANDO SE REALIZA PERCUTÁNEA CADA LESIÓN ADICIONAL INCLUYENDO GUÍA POR RESONANCIA MAGNÉTICA (REGISTRAR ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRINCIPAL),CP,Procedimiento (CPT),1
19100,BIOPSIA PERCUTÁNEA DE MAMA AGUJA TRÓCAR (PROCEDIMIENTO SEPARADO) SIN GUÍA DE IMÁGENES,CP,Procedimiento (CPT),1
19101,BIOPSIA DE MAMA A CIELO ABIERTO,CP,Procedimiento (CPT),1
19102,BIOPSIA PERCUTÁNEA DE MAMA CON IMÁGENES,CP,Procedimiento (CPT),1
19103,BIOPSIA PERCUTÁNEA DE MAMA CON AYUDA DE IMÁGENES Y USO DE DISPOSITIVO DE VACÍO,CP,Procedimiento (CPT),1
19105,REMOCIÓN DE FIBROADENOMA MEDIANTE CRIOCIRUGÍA CON AYUDA DE GUÍA ECOGRÁFICA. SE REGISTRA ESTE CÓDIGO PARA CADA FIBROADENOMA,CP,Procedimiento (CPT),1
19110,EXPLORACIÓN DEL PEZÓN CON O SIN ESCISIÓN DE CONDUCTO GALACTOFORO SOLITARIO O CONDUCTO GALACTÓFORO PAPILOMATOSO,CP,Procedimiento (CPT),1
19112,ESCICIÓN DE FÍSTULA DE CONDUCTO GALACTÓFORO,CP,Procedimiento (CPT),1
19120,ESCISIÓN ABIERTA DE QUISTE FIBROADENOMA U OTRA LESIÓN BENIGNA O MALIGNA DE MAMA TEJIDO MAMARIO ABERRANTE LESIÓN DE CONDUCTO LESIÓN DE PEZÓN O ARÉOLA (EXCEPTO CÓDIGO 19300) EN HOMBRES O MUJERES 1 O MÁS LESIONES,CP,Procedimiento (CPT),1
19125,ESCICIÓN ABIERTA DE UNA LESIÓN DE MAMA ÚNICA IDENTIFICADA POR COLOCACIÓN PREOPERATORIA DE UN MARCAJE RADIOLÓGICO,CP,Procedimiento (CPT),1
19126,ESCICIÓN ABIERTA DE LESIÓN DE MAMA IDENTIFICADA POR COLOCACIÓN PREOPERATORIA DE UN MARCADOR RADIOLÓGICO CADA LESION ADICIONAL IDENTIFICADA POR SEPARADO PROCEDIMIENTO DE MARCAJE RADIOLÓGICO (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRIMARIO),CP,Procedimiento (CPT),1
19160,CUADRANTECTOMIA DE MAMA (MASTECTOMIA PARCIAL),CP,Procedimiento (CPT),1
19180,MASTECTOMIA SIMPLE COMPLETA,CP,Procedimiento (CPT),1
19200,MASTECTOMIA RADICAL,CP,Procedimiento (CPT),1
19260,ESCICIÓN DE TUMOR DE LA PARED TORÁCICA INCLUYENDO COSTILLAS,CP,Procedimiento (CPT),1
19271,ESCICIÓN DE TUMOR DE LA PARED TORÁCICA INCLUYENDO COSTILLAS CON RECONSTRUCCIÓN PLÁSTICA SIN LINFADENECTOMÍA MEDIASTÍNICA,CP,Procedimiento (CPT),1
19272,ESCICIÓN DE TUMOR DE LA PARED TORÁCICA INCLUYENDO COSTILLAS CON RECONSTRUCCIÓN PLÁSTICA CON LINFADENECTOMÍA MEDIASTÍNICA,CP,Procedimiento (CPT),1
19281,COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA ALAMBRE/AGUJA BASTÓN RADIOACTIVO) PERCUTÁNEA PRIMERA LESIÓN INCLUYENDO GUÍA POR MAMOGRAFÍA,CP,Procedimiento (CPT),1
19282,COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA ALAMBRE/AGUJA BASTÓN RADIOACTIVO) PERCUTÁNEA CADA LESIÓN ADICIONAL INCLUYENDO GUÍA POR MAMOGRAFÍA (REGISTRAR ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRINCIPAL),CP,Procedimiento (CPT),1
19283,COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA ALAMBRE/AGUJA BASTÓN RADIOACTIVO) PERCUTÁNEA PRIMERA LESIÓN INCLUYENDO GUÍA ESTEREOTÁCTICA,CP,Procedimiento (CPT),1
19284,COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA ALAMBRE/AGUJA BASTÓN RADIOACTIVO) PERCUTÁNEA CADA LESIÓN ADICIONAL INCLUYENDO GUÍA ESTEREOTÁCTICA (REGISTRAR ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRINCIPAL),CP,Procedimiento (CPT),1
19285,COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA ALAMBRE/AGUJA BASTÓN RADIOACTIVO) PERCUTÁNEA PRIMERA LESIÓN INCLUYENDO GUÍA ULTRASONOGRÁFICA,CP,Procedimiento (CPT),1
19286,COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA ALAMBRE/AGUJA BASTÓN RADIOACTIVO) PERCUTÁNEA CADA LESIÓN ADICIONAL INCLUYENDO GUÍA ULTRASONOGRÁFICA (REGISTRAR ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRINCIPAL),CP,Procedimiento (CPT),1
19287,COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA ALAMBRE/AGUJA BASTÓN RADIOACTIVO) PERCUTÁNEA PRIMERA LESIÓN INCLUYENDO GUÍA POR RESONANCIA MAGNÉTICA,CP,Procedimiento (CPT),1
19288,COLOCACIÓN DE DISPOSITIVO(S) DE LOCALIZACIÓN (P. EJ. CLIP PERLA METÁLICA ALAMBRE/AGUJA BASTÓN RADIOACTIVO) PERCUTÁNEA CADA LESIÓN ADICIONAL INCLUYENDO GUÍA POR RESONANCIA MAGNÉTICA (REGISTRAR ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRINCIPAL),CP,Procedimiento (CPT),1
19290,INTRODUCCIÓN PREOPERATORIA DE AGUJA DE LOCALIZACIÓN DE LESIÓN EN MAMA,CP,Procedimiento (CPT),1
19291,INTRODUCCIÓN PREOPERATORIA DE CADA AGUJA ADICIONAL PARA LA LOCÁLIZACIÓN DE LESIÓN EN MAMA. SE REGISTRA POR SEPARADO ADICIONALMENTE AL CÓDIGO DEL PROCEDIMIENTO PRIMARIO,CP,Procedimiento (CPT),1
19295,COLOCACIÓN DE GUÍA PARA IMÁGENES: CLIP METÁLICO EN FORMA PERCUTÁNEA DURANTE LA BIOPSIA DE MAMA. REGISTRAR POR SEPARADO ADICIONALMENTE AL CÓDIGO DEL PROCEDIMIENTO PRIMARIO,CP,Procedimiento (CPT),1
19296,COLOCACIÓN DE CATÉTER EXPANDIBLE DE CARGA DIFERIDA DE RADIOTERAPIA (MONOCANAL O MULTICANAL) EN MAMA PARA APLICACIÓN INTERSTICIAL DE RADIOELEMENTO POSTERIOR A MÁSTECTOMÍA PARCIAL INCLUYE LA GUÍA MEDIANTE IMÁGENES REALIZADO EN FECHA DISTINTA A LA MASTECTOMÍA PARCIAL,CP,Procedimiento (CPT),1
19297,COLOCACIÓN DE CATÉTER EXPANDIBLE DE CARGA DIFERIDA DE RADIOTERAPIA (MONOCANAL O MULTICANAL) EN MAMA PARA APLICACIÓN INTERSTICIAL DE RADIOELEMENTO POSTERIOR A MÁSTECTOMÍA PARCIAL INCLUYE LA GUÍA MEDIANTE IMÁGENES REALIZADO EN LA MISMA FECHA A LA MASTECTOMÍA PARCIAL (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRIMARIO),CP,Procedimiento (CPT),1
19298,COLOCACIÓN DE CATÉTERES EXPANDIBLES DE CARGA DIFERIDA DE BRAQUITERAPIA (TIPO TUBO MÚLTIPLE Y BOTÓN) EN MAMA PARA APLICACIÓN INTERSTICIAL DE RADIOELEMENTO POSTERIOR A MÁSTECTOMÍA PARCIAL INCLUYE LA GUÍA MEDIANTE IMÁGENES,CP,Procedimiento (CPT),1
19300,MASTECTOMÍA POR GINECOMASTIA,CP,Procedimiento (CPT),1
19301,MASTECTOMÍA PARCIAL (P. EJ. LUMPECTOMIA CUADRANTECTOMIA SEGMENTECTOMIA),CP,Procedimiento (CPT),1
19302,MASTECTOMÍA PARCIAL CON LINFADENECTOMÍA AXILAR (P. EJ. LUMPECTOMIA CUADRANTECTOMIA SEGMENTECTOMIA),CP,Procedimiento (CPT),1
19303,MASTECTOMÍA SIMPLE COMPLETA,CP,Procedimiento (CPT),1
19304,MASTECTOMÍA SUBCUTÁNEA,CP,Procedimiento (CPT),1
19305,MASTECTOMÍA RADICAL INCLUYENDO MÚSCULOS PECTORALES Y GANGLIOS LINFÁTICOS AXILARES,CP,Procedimiento (CPT),1
19306,MASTECTOMÍA RADICAL INCLUYENDO MÚSCULOS PECTORALES GANGLIOS LINFÁTICOS AXILARES Y MAMARIOS INTERNOS (OPERACIÓN TIPO URBAN),CP,Procedimiento (CPT),1
19307,MASTECTOMÍA RADICAL MODIFICADA INCLUYENDO GANGLIOS LINFÁTICOS AXILARES CON O SIN EL MUSCULO PECTORAL MENOR PERO EXCLUYENDO EL MUSCULO PECTORAL MAYOR,CP,Procedimiento (CPT),1
19316,MASTOPEXIA,CP,Procedimiento (CPT),1
19318,MAMOPLASTÍA DE REDUCCIÓN,CP,Procedimiento (CPT),1
19324,MAMOPLASTÍA DE AUMENTO SIN IMPLANTE DE PRÓTESIS,CP,Procedimiento (CPT),1
19325,MAMOPLASTÍA DE AUMENTO CON IMPLANTE DE PRÓTESIS,CP,Procedimiento (CPT),1
19328,REMOCIÓN DE IMPLANTE MAMARIO INTACTO,CP,Procedimiento (CPT),1
19330,REMOCIÓN DE MATERIAL DE IMPLANTE MAMARIO,CP,Procedimiento (CPT),1
19340,INSERCIÓN INMEDIATA DE PRÓTESIS DE MAMA LUEGO UNA MÁSTOPEXIA MASTECTOMÍA O CIRUGÍA RECONSTRUCTORA,CP,Procedimiento (CPT),1
19342,INSERCIÓN DIFERIDA DE PRÓTESIS DE MAMA LUEGO UNA MÁSTOPEXIA MASTECTOMÍA O DURANTE CIRUGÍA RECONSTRUCTORA,CP,Procedimiento (CPT),1
19350,RECONSTRUCCIÓN DE PEZÓN/ARÉOLA,CP,Procedimiento (CPT),1
19351,CORRECCIÓN DE PEZÓN INVERTIDO,CP,Procedimiento (CPT),1
19355,RECONSTRUCCIÓN DE MAMA CON EXPANSORES TISULARES,CP,Procedimiento (CPT),1
19357,RECONSTRUCCIÓN DE MAMA INMEDIATA O RETRASADA CON EXPANSO TISULAR INCLUYENDO EXPANSIÓN SUBSIGUIENTE,CP,Procedimiento (CPT),1
19361,RECONSTRUCCIÓN DE MAMA CON COLGAJO DEL MÚSCULO DORSAL ANCHO SIN IMPLANTE DE PRÓTESIS,CP,Procedimiento (CPT),1
19364,RECONSTRUCCIÓN DE MAMA CON COLGAJO LIBRE,CP,Procedimiento (CPT),1
19366,RECONSTRUCCIÓN DE MAMA CON OTRA TÉCNICA,CP,Procedimiento (CPT),1
19367,RECONSTRUCCIÓN DE MAMA CON COLGAJO MIOCUTÁNEO SIMPLE DE MÚSCULO TRANSVERSO DEL RECTO DEL ABDOMEN INCLUYENDO CIERRE DE ZONA DONANTE,CP,Procedimiento (CPT),1
19368,RECONSTRUCCIÓN DE MAMA CON COLGAJO SIMPLE DE MÚSCULO MIOCUTANEO TRANSVERSO DEL RECO DEL ABDOMEN INCLUYENDO CIERRE DE ZONA DONANTE Y ANASTOMOSIS MICROVASCULAR (SUPERCARGA),CP,Procedimiento (CPT),1
19369,RECONSTRUCCIÓN DE MAMA CON COLGAJO MIOCUTÁNEO DE MÚSCULO TRANSVERSO RECTO DEL ABDOMEN DOBLE PEDÍCULO INCLUYENDO CIERRE DE ZONA DONANTE,CP,Procedimiento (CPT),1
19370,CAPSULOTOMÍA ABIERTA PERIPRÓTESIS DE MAMA,CP,Procedimiento (CPT),1
19371,CAPSULECTOMÍA PERIPRÓTESIS DE MAMA,CP,Procedimiento (CPT),1
19380,REVISIÓN DE RECONSTRUCCIÓN DE MAMA,CP,Procedimiento (CPT),1
19396,PREPARACIÓN DE MOLDE PARA IMPLANTE PERSONALIZADO DE SENO,CP,Procedimiento (CPT),1
19499,PROCEDIMIENTO DE MAMA NO LISTADO,CP,Procedimiento (CPT),1
20000,INCISIÓN DE ABSCESO DE TEJIDO BLANDO (P. EJ. SECUNDARIO A OSTEOMIELITIS) SUPERFICIAL,CP,Procedimiento (CPT),1
20005,INCISIÓN DE ABSCESO DE TEJIDO BLANDO SUBFASCIAL (P. EJ. COMPROMETE TEJIDO BLANDO DEBAJO DE LA FASCIA PROFUNDA),CP,Procedimiento (CPT),1
20100,EXPLORACIÓN DE HERIDA PENETRANTE (PROCEDIMIENTO SEPARADO) CUELLO,CP,Procedimiento (CPT),1
20101,EXPLORACIÓN DE HERIDA PENETRANTE (PROCEDIMIENTO SEPARADO) PECHO,CP,Procedimiento (CPT),1
20102,EXPLORACIÓN DE HERIDA PENETRANTE (PROCEDIMIENTO SEPARADO) ABDOMEN/FLANCO/ESPALDA,CP,Procedimiento (CPT),1
20103,EXPLORACIÓN DE HERIDA PENETRANTE (PROCEDIMIENTO SEPARADO) EXTREMIDAD,CP,Procedimiento (CPT),1
20150,ESCISIÓN DE BARRA EPIFISARIA CON O SIN INJERTO AUTÓLOGO DE TEJIDO BLANDO OBTENIDO EN LA MISMA INCISIÓN FASCIAL,CP,Procedimiento (CPT),1
20200,BIOPSIA DE MÚSCULO SUPERFICIAL,CP,Procedimiento (CPT),1
20205,BIOPSIA DE MÚSCULO PROFUNDA,CP,Procedimiento (CPT),1
20206,BIOPSIA DE MÚSCULO AGUJA PERCUTÁNEA,CP,Procedimiento (CPT),1
20220,BIOPSIA DE HUESO TROCAR O AGUJA SUPERFICIAL (P. EJ. HUESO ILÍACO ESTERNÓN APÓFISIS ESPINOSA COSTILLAS),CP,Procedimiento (CPT),1
20225,BIOPSIA DE HUESO TROCAR O AGUJA PROFUNDO (CUERPO VERTEBRAL FÉMUR),CP,Procedimiento (CPT),1
20240,BIOPSIA DE HUESO CON ESCICIÓN SUPERFICIAL (P. EJ. HUESO ILÍACO ESTERNÓN APÓFISIS ESPINOSA COSTILLAS TROCÁNTER DEL FÉMUR),CP,Procedimiento (CPT),1
20245,BIOPSIA DE HUESO CON ESCICIÓN PROFUNDA (P. EJ. HÚMERO ISQUION FÉMUR),CP,Procedimiento (CPT),1
20250,BIOPSIA DE CUERPO VERTEBRAL ABIERTA TORÁCICO,CP,Procedimiento (CPT),1
20251,BIOPSIA DE CUERPO VERTEBRAL ABIERTA LUMBAR O CERVICAL,CP,Procedimiento (CPT),1
20500,INYECCIÓN EN TRACTO DE SENO TERAPÉUTICA (PROCEDIMIENTO SEPARADO),CP,Procedimiento (CPT),1
20501,INYECCIÓN EN TRACTO DE SENO DIAGNÓSTICO (RADIOGRAFÍA CONTRASTADA DE SENOS),CP,Procedimiento (CPT),1
20520,EXTIRPACIÓN DE CUERPO EXTRAÑO EN MÚSCULO O VAINA TENDINOSA SIMPLE,CP,Procedimiento (CPT),1
20525,EXTIRPACIÓN DE CUERPO EXTRAÑO EN MÚSCULO O VAINA TENDINOSA PROFUNDA O CON COMPLICACIONES,CP,Procedimiento (CPT),1
20526,INYECCIÓN(ES) TERAPÉUTICA EN TÚNEL CARPIANO (ANESTÉSICO LOCAL CORTICOSTEROIDES),CP,Procedimiento (CPT),1
20527,INYECCIÓN DE ENZIMA (P. EJ. COLAGENASA) EN CORDÓN FASCIOPALMAR (P. EJ. CONTRACTURA DE DUPUYTREN),CP,Procedimiento (CPT),1
20550,INYECCIÓN(ES) VAINA TENDINOSA ÚNICA O LIGAMENTO APONEUROSIS (P. EJ. FASCIA PLANTAR),CP,Procedimiento (CPT),1
20551,INYECCIÓN(ES) EN TENDÓN ÚNICO EN ORIGEN/INSERCIÓN,CP,Procedimiento (CPT),1
20552,INYECCIÓN(ES) EN PUNTO DESENCADENANTE ÚNICO O MÚLTIPLE(S) EN UNO O DOS MÚSCULO(S),CP,Procedimiento (CPT),1
20553,INYECCIÓN(ES) EN PUNTO DESENCADENANTE ÚNICO O MÚLTIPLE(S) TRES O MÁS MÚSCULO(S),CP,Procedimiento (CPT),1
20555,COLOCACIÓN DE AGUJAS O CATÉTERES EN MÚSCULO Y/O TEJIDO BLANDO PARA APLICACIÓN SUBSIGUIENTE DE RADIOELEMENTO INTERSTICIAL (DURANTE O DESPUÉS DE PROCEDIMIENTO),CP,Procedimiento (CPT),1
20600,ARTROCENTESIS CON ASPIRACIÓN Y/O INYECCIÓN ARTICULACIÓN PEQUEÑA BOLSA SINOVIAL O GANGLIO (P. EJ. DEDOS DE LA MANO O PIE),CP,Procedimiento (CPT),1
20604,ARTROCENTESIS ASPIRACIÓN Y/O INYECCIÓN PEQUEÑAS ARTICULACIONES O BURSA (P. EJ. DEDOS DE MANOS O PIES) CON GUÍA DE ULTRASONIDO CON PERMANENTE REGISTRO Y REPORTE,CP,Procedimiento (CPT),1
20605,ARTROCENTESIS CON ASPIRACIÓN Y/O INYECCIÓN DE ARTICULACIÓN INTERMEDIA BOLSA SINOVIAL O GANGLIO (P. EJ. TEMPOROMANDIBULAR ACROMIOCLAVICULAR MUÑECA CODO O TOBILLO BOLSA DEL OLECRANON),CP,Procedimiento (CPT),1
20606,ARTROCENTESIS ASPIRACIÓN Y/O INYECCIÓN ARTICULACIONES INTERMEDIAS O BURSA (P. EJ. TEMPOROMANDIBULAR ACROMIOCLAVICULAR MUÑECA CODO TOBILLO BURSA OLECRANEANA) CON GUÍA DE ULTRASONIDO CON REGISTRO Y REPORTE PERMANENTE,CP,Procedimiento (CPT),1
20610,ARTROCENTESIS CON ASPIRACIÓN Y/O INYECCIÓN DE ARTICULACIÓN O BOLSA SINOVIAL MAYOR (P. EJ. HOMBRO CADERA ARTICULACIÓN DE LA RODILLA BOLSA SUB ACROMIAL),CP,Procedimiento (CPT),1
